Date,VaR
2019-06-03,-0.02577127342250073
2019-06-04,-0.02576980957670799
2019-06-05,-0.02582630171591239
2019-06-06,-0.025841209464014053
2019-06-07,-0.025809278509993882
2019-06-11,-0.02588052529935419
2019-06-12,-0.02596456746941745
2019-06-13,-0.0258956907873922
2019-06-14,-0.025813836552542442
2019-06-17,-0.02578723600932268
2019-06-18,-0.025739120815901444
2019-06-19,-0.02590420640490876
2019-06-20,-0.025832671139789782
2019-06-21,-0.02579432175057346
2019-06-24,-0.025577412528972745
2019-06-25,-0.025587610590306224
2019-06-26,-0.025567726408329067
2019-06-27,-0.025484308643665483
2019-06-28,-0.02542031238657625
2019-07-01,-0.025398570792667635
2019-07-02,-0.0254276755141792
2019-07-03,-0.025428179507576195
2019-07-04,-0.02549314136683878
2019-07-05,-0.025494306895632216
2019-07-08,-0.02551707845840597
2019-07-09,-0.02549404212933568
2019-07-10,-0.02545570195192001
2019-07-11,-0.025419132246876076
2019-07-12,-0.025417369043261504
2019-07-15,-0.02542687962111473
2019-07-16,-0.025424031210840622
2019-07-17,-0.025418097327804767
2019-07-18,-0.025428627742954964
2019-07-19,-0.02544190483668078
2019-07-22,-0.025445078914828174
2019-07-23,-0.025393261771271557
2019-07-24,-0.025457869024520366
2019-07-25,-0.025443497091331663
2019-07-26,-0.025444123813650906
2019-07-29,-0.025441069302931205
2019-07-30,-0.02544499105289448
2019-07-31,-0.025676190650139055
2019-08-01,-0.025636514433838544
2019-08-02,-0.02562849346971711
2019-08-05,-0.026026146204961197
2019-08-06,-0.026463166395343216
2019-08-07,-0.026465243850804007
2019-08-08,-0.02645838593984328
2019-08-09,-0.026580069485096326
2019-08-12,-0.026647176624837773
2019-08-13,-0.026671311474075997
2019-08-14,-0.026595243961918858
2019-08-15,-0.02684151902338208
2019-08-16,-0.026864026076199952
2019-08-19,-0.02699101780271575
2019-08-20,-0.027116003968689382
2019-08-21,-0.027148349450255623
2019-08-22,-0.027294446445152915
2019-08-23,-0.027295124937309692
2019-08-26,-0.02729706001207196
2019-08-27,-0.02729843042410873
2019-08-28,-0.027328044505863177
2019-08-29,-0.027345262177599965
2019-08-30,-0.027417484662639064
2019-09-02,-0.027483327126329945
2019-09-03,-0.027453298311386577
2019-09-04,-0.027406142627882542
2019-09-05,-0.02748017424520019
2019-09-06,-0.027552266030919054
2019-09-09,-0.027535181659211556
2019-09-10,-0.027535002444726505
2019-09-11,-0.02752952983980453
2019-09-12,-0.02759270383014057
2019-09-13,-0.027582846195909755
2019-09-16,-0.027631708553812955
2019-09-17,-0.027652031888697703
2019-09-18,-0.027659112815254572
2019-09-19,-0.02764405014972634
2019-09-20,-0.02766568687575892
2019-09-23,-0.027643620858258146
2019-09-24,-0.027722666648042363
2019-09-25,-0.02772302788571658
