Date,VaR
2020-06-25,-0.05728685221009396
2020-06-26,-0.05727662447678694
2020-06-29,-0.0572506392865862
2020-06-30,-0.057265141446821266
2020-07-01,-0.05723218282935958
2020-07-02,-0.05723306737767414
2020-07-03,-0.057326164632381826
2020-07-06,-0.0573373273972818
2020-07-07,-0.05741037431000606
2020-07-08,-0.05741666311434881
2020-07-09,-0.057438028936405996
2020-07-10,-0.05746142530217085
2020-07-13,-0.05749329385217665
2020-07-14,-0.05752807866515675
2020-07-15,-0.05754292794782257
2020-07-16,-0.05764487377908136
2020-07-17,-0.05764400320892085
2020-07-20,-0.05764269222528711
2020-07-21,-0.05764857809925756
2020-07-22,-0.05765318105874431
2020-07-23,-0.05765877423719595
2020-07-24,-0.057657895419087515
2020-07-27,-0.057739385840110055
2020-07-28,-0.05764567589400865
2020-07-29,-0.05764898685796525
2020-07-30,-0.05764204795509064
2020-07-31,-0.05762953294256343
2020-08-03,-0.0574332515632532
2020-08-04,-0.05755444991196881
2020-08-05,-0.057557875625413014
2020-08-06,-0.05751411329608292
2020-08-07,-0.05749366154122146
2020-08-10,-0.057487872267260515
2020-08-11,-0.05749580441753761
2020-08-12,-0.057488034492923744
2020-08-13,-0.05749293954871071
2020-08-14,-0.057439246268472875
2020-08-17,-0.05742710268805664
2020-08-18,-0.05741010875404969
2020-08-19,-0.057354109088026614
2020-08-20,-0.0573559109818333
2020-08-21,-0.05737557945918266
2020-08-24,-0.05737559842271338
2020-08-25,-0.0574352306821351
2020-08-26,-0.05742786058855114
2020-08-27,-0.05742695913017986
2020-08-28,-0.0574120331242844
2020-08-31,-0.05741375837365307
2020-09-01,-0.05741742545871555
2020-09-02,-0.05738932009382873
2020-09-03,-0.05741380878679419
2020-09-04,-0.05746828161606657
2020-09-07,-0.05749578306927674
2020-09-08,-0.05758322541769517
2020-09-09,-0.0576050094348348
2020-09-10,-0.05766827699626048
2020-09-11,-0.057656587478436036
2020-09-14,-0.05764705765930908
2020-09-15,-0.057647995633913124
2020-09-16,-0.0576630659585216
2020-09-17,-0.05767435532150655
2020-09-18,-0.05767802169476601
2020-09-21,-0.05766480025082179
2020-09-22,-0.05814693944869565
2020-09-23,-0.05812849621890122
2020-09-24,-0.05812583640989011
2020-09-25,-0.05815276340423652
2020-09-28,-0.05814965436914512
2020-09-29,-0.05834109814633663
2020-09-30,-0.05812697766077605
2020-10-01,-0.05812303858108981
2020-10-02,-0.05811641042070866
2020-10-05,-0.05806798594853472
2020-10-06,-0.05811524121776794
2020-10-07,-0.058114122498472524
2020-10-08,-0.05784291731354562
2020-10-09,-0.05786795428333033
2020-10-12,-0.0577963029930279
2020-10-13,-0.05781317089816327
2020-10-14,-0.057841502668246954
2020-10-15,-0.05784088534942179
2020-10-16,-0.057948073435120304
2020-10-19,-0.05798008256482459
2020-10-20,-0.05797901028871577
2020-10-21,-0.05797082325922738
2020-10-22,-0.05801612463938754
2020-10-23,-0.05800546037294248
2020-10-26,-0.0580180026188079
2020-10-27,-0.05814833255398682
2020-10-28,-0.058188462982295124
2020-10-29,-0.058497483374780106
2020-10-30,-0.058464740124142635
2020-11-02,-0.05847254663571683
2020-11-03,-0.058540908960161064
2020-11-04,-0.05871430028938263
2020-11-05,-0.05881665418472043
2020-11-06,-0.058857485582626747
2020-11-09,-0.058857182692833895
2020-11-10,-0.05966000480814343
2020-11-11,-0.05970988644306911
2020-11-12,-0.059727547890849386
2020-11-13,-0.05974067723610499
2020-11-16,-0.05973883691933306
2020-11-17,-0.059857005868519116
2020-11-18,-0.05984644212947294
2020-11-19,-0.05984828925029071
2020-11-20,-0.059839308184338406
2020-11-23,-0.059843558635469016
2020-11-24,-0.059842802383332394
2020-11-25,-0.05987376516626415
2020-11-26,-0.05986360946842674
2020-11-27,-0.059803866181463314
2020-11-30,-0.059803292910194865
2020-12-01,-0.05977503201845841
2020-12-02,-0.059802513219756756
2020-12-03,-0.05977100649382718
2020-12-04,-0.05977399191705824
2020-12-07,-0.059779575799001054
2020-12-08,-0.05979125162475674
2020-12-09,-0.05979014499231698
2020-12-10,-0.059723510027802275
2020-12-11,-0.05968462101846673
2020-12-14,-0.05969498119231387
2020-12-15,-0.05971939266422408
2020-12-16,-0.05972657421829981
2020-12-17,-0.05973360897807101
2020-12-18,-0.05974026229035995
2020-12-21,-0.05973610180560906
2020-12-22,-0.05987885889887714
2020-12-23,-0.05989607720440514
2020-12-28,-0.05995063504124981
2020-12-29,-0.059959296456718936
2020-12-30,-0.05997747949837557
2021-01-04,-0.059984101733125655
2021-01-05,-0.05998455538459186
2021-01-06,-0.05998354135524282
2021-01-07,-0.060038215091450284
2021-01-08,-0.060049865041041886
2021-01-11,-0.06005799580674891
2021-01-12,-0.06008218058195014
2021-01-13,-0.060061258395314496
2021-01-14,-0.060061870307488115
2021-01-15,-0.060078351244205755
2021-01-18,-0.06012117653726485
2021-01-19,-0.06010264893929093
2021-01-20,-0.060085007040162994
2021-01-21,-0.0599457334218813
2021-01-22,-0.05992755988259805
2021-01-25,-0.05994577588698477
2021-01-26,-0.05996107121220898
2021-01-27,-0.05994919396773474
2021-01-28,-0.05998786019204925
2021-01-29,-0.059899987501776074
2021-02-01,-0.059914393503168795
2021-02-02,-0.059965270276716685
2021-02-03,-0.06002223659438665
2021-02-04,-0.06002658561594385
2021-02-05,-0.05999103074307513
2021-02-08,-0.059973920697766525
2021-02-09,-0.05997669467784448
2021-02-10,-0.05997805927156887
2021-02-11,-0.05997959331065111
2021-02-12,-0.05997696137843321
2021-02-15,-0.05995805246852454
2021-02-16,-0.060011986819927844
2021-02-17,-0.0600029502311879
2021-02-18,-0.05947981043660756
2021-02-19,-0.059405110459666725
2021-02-22,-0.05942239884135063
2021-02-23,-0.05889759365089732
2021-02-24,-0.058534354499680696
2021-02-25,-0.05853444397729251
2021-02-26,-0.0584318122711855
2021-03-01,-0.058526274429794946
2021-03-02,-0.058521823820476646
2021-03-03,-0.05813105386592264
2021-03-04,-0.05602930842802634
2021-03-05,-0.05597722533276622
2021-03-08,-0.05593880242306728
2021-03-09,-0.049842780761139654
2021-03-10,-0.04978660060412921
2021-03-11,-0.047966621630838605
2021-03-12,-0.047965130319486265
2021-03-15,-0.047101167801919516
2021-03-16,-0.04697413582245065
2021-03-17,-0.04669748138422709
2021-03-18,-0.04574826666027643
2021-03-19,-0.0428308964630682
2021-03-22,-0.04245188998633437
2021-03-23,-0.04209921591992287
2021-03-24,-0.04148791226027347
2021-03-25,-0.04148545874224673
2021-03-26,-0.04125567339545079
2021-03-29,-0.04076861853811151
2021-03-30,-0.04077170710058979
2021-03-31,-0.04066884245357434
2021-04-01,-0.03982971558070237
2021-04-06,-0.03943933117834399
2021-04-07,-0.039456164143801375
2021-04-08,-0.03928614789864054
2021-04-09,-0.039283438222259146
2021-04-12,-0.03833846297132485
2021-04-13,-0.03835719660634618
2021-04-14,-0.037902191554286285
2021-04-15,-0.03790135284569754
2021-04-16,-0.03728370705013047
2021-04-19,-0.03721145816358967
2021-04-20,-0.03710427545192937
2021-04-21,-0.03722055617689902
2021-04-22,-0.037068923648718666
2021-04-23,-0.036876342069624715
2021-04-26,-0.03653838811346737
2021-04-27,-0.0363422958352883
2021-04-28,-0.03629646061094598
2021-04-29,-0.03569610850758671
2021-04-30,-0.03550201836395437
2021-05-03,-0.035481655866507686
2021-05-04,-0.035413061153752014
2021-05-05,-0.035474601283307386
2021-05-06,-0.03554689428535458
2021-05-07,-0.03554685592344903
2021-05-10,-0.035275819793758996
2021-05-11,-0.034916462162727896
2021-05-12,-0.0351757751407022
2021-05-14,-0.034213719076927405
2021-05-17,-0.03421872708673392
2021-05-18,-0.03419889310481551
2021-05-19,-0.03418812847107988
2021-05-20,-0.03421417188021883
2021-05-21,-0.033964417950460936
2021-05-25,-0.03396110118430185
2021-05-26,-0.03384781286255471
2021-05-27,-0.033707164983102236
2021-05-28,-0.033142188089336846
2021-05-31,-0.03279272228266582
2021-06-01,-0.03278668221147548
2021-06-02,-0.032492638486592895
2021-06-03,-0.03248851777211375
2021-06-04,-0.03226683070265479
2021-06-07,-0.03221939594863771
2021-06-08,-0.03089627831565316
2021-06-09,-0.030884160800573716
2021-06-10,-0.030883955088247116
2021-06-11,-0.030396935331025797
2021-06-14,-0.030412877649578597
